Date, Open, High, Low, Close, Volume,Company
12/4/2019,350,350,350,350,100,KUKZ
12/3/2019,350,350,350,350,300,KUKZ
11/26/2019,350,350,350,350,100,KUKZ
11/20/2019,345,350,330,345,400,KUKZ
11/14/2019,330,330,330,330,10800,KUKZ
11/13/2019,361,365,360,361,1500,KUKZ
11/11/2019,360,360,360,360,300,KUKZ
11/6/2019,400,400,400,400,2000,KUKZ
11/5/2019,410,410,410,410,200,KUKZ
10/24/2019,423.5,423.5,423.5,423.5,100,KUKZ
10/18/2019,423.5,423.5,423.5,423.5,200,KUKZ
10/2/2019,423.25,423.25,423.25,423.25,100,KUKZ
9/27/2019,420,420,420,420,100,KUKZ
9/26/2019,423.5,423.5,423.5,423.5,100,KUKZ
9/24/2019,423.5,423.5,423.5,423.5,100,KUKZ
9/18/2019,385,385,385,385,100,KUKZ
9/6/2019,350,350,350,350,100,KUKZ
8/8/2019,340,340,340,340,100,KUKZ
7/26/2019,340,340,340,340,3800,KUKZ
7/25/2019,340,340,340,340,100,KUKZ
7/23/2019,340,340,340,340,100,KUKZ
7/22/2019,340,340,340,340,100,KUKZ
7/9/2019,340,340,340,340,100,KUKZ
7/5/2019,340,340,340,340,200,KUKZ
7/1/2019,310,310,310,310,126700,KUKZ
6/24/2019,341,341,341,341,100,KUKZ
6/19/2019,310,310,310,310,500,KUKZ
5/24/2019,310,310,310,310,131500,KUKZ
4/11/2019,300,300,300,300,300,KUKZ
4/4/2019,300,300,300,300,100,KUKZ
3/20/2019,300,300,300,300,2000,KUKZ
3/19/2019,310,310,310,310,400,KUKZ
3/15/2019,310,310,310,310,4000,KUKZ
3/8/2019,310,310,310,310,100,KUKZ
3/7/2019,310,310,310,310,500,KUKZ
2/26/2019,320,320,320,320,100,KUKZ
2/25/2019,320,320,320,320,100,KUKZ
2/22/2019,320,320,320,320,1300,KUKZ
2/19/2019,320,320,320,320,100,KUKZ
2/18/2019,320,320,320,320,400,KUKZ
2/1/2019,310,310,310,310,100,KUKZ
1/23/2019,310,310,310,310,100,KUKZ
1/22/2019,310,310,310,310,1300,KUKZ
1/18/2019,310,310,310,310,200,KUKZ
1/16/2019,314.75,315,308,314.75,41800,KUKZ
